Description,FunctionalApprover,Identifier,IsActive,Name,ProvisioningType,TechnicalAdmin,AddressMailPartner
,DOSIP.AOP.IIP.ILAO,SONAR,,SONAR,Tâche,DOSIP.AOP.IIP.ILAO,
,IAM_AR_SUD2,SUD2,,SUD2,Tâche,IAM_TA_SUD2,
,,SVI,,SVI,Tâche,,
,DOSIP.AOP.IIP.ILAO,SVN,,SVN,Tâche,DOSIP.AOP.IIP.ILAO,
,Sécurite Opérationnelle,SentinelOne,,SentinelOne,Tâche,Sécurite Opérationnelle,
,IAM_AR_Sightcall,Sightcall,,Sightcall,Tâche,IAM_TA_Sightcall,
,DOSIP.AOP.IT.RS3C.RESEAU,Smartphone,,Smartphone,AD,DOSIP.AOP.IT.RS3C.RESEAU,
,IAM_AR_Sésame Formation,Sésame Formation,,Sésame Formation,Tâche,IAM_TA_Sésame Formation,
,IAM_AR_Sésame Production,Sésame Production,,Sésame Production,Tâche,IAM_TA_Sésame Production,
,DOSIP.AOP.IIP.ILAO,TFS,,TFS,Tâche,DOSIP.AOP.IIP.ILAO,
,IAM_AR_Tableau de répartition (TDR),Tableau de répartition (TDR),,Tableau de répartition (TDR),Tâche,DOSIP.AOP.IIP.ILAO,
,Sécurite Opérationnelle,Tenable,,Tenable,Tâche,Sécurite Opérationnelle,
,IAM_AR_Triskell,Triskell,,Triskell,Tâche,IAM_AT_Triskell,
,IAM_AR_Triskell,Triskell - PowerBI,,Triskell - PowerBI,AD,IAM_AR_Triskell,
,IAM_AR_WINCHAPPS,WINCHAPPS,,WINCHAPPS,AD,,
