Identifier,Name,Description,IsActive,FunctionalApprover,TechnicalAdmin,ProvisioningType,AddressMailPartner
AlpagaPortailCR,AlpagaPortailCR,,,IAM_AR_AlpagaPortailCR,IAM_TA_AlpagaPortailCR,Tâche,
Alpaga,Alpaga,,,IAM_AR_Alpaga,IAM_TA_Alpaga,Tâche,
Réclamations,Réclamations,,,IAM_AR_Réclamations,IAM_TA_Réclamations,Tâche,
FCCS,FCCS,,,IAM_AR_FCCS,IAM_TA_FCCS,Tâche,
ARCS,ARCS,,,IAM_AR_ARCS,IAM_TA_ARCS,Tâche,
PeopleAssist,PeopleAssist,,,,,AD,
DSIN - PowerBI,DSIN - PowerBI,,,IAM_AR_Piano_Analytics,,AD,
CustomerRoom,CustomerRoom,,,,,AD,
MyPlace_CAA,MyPlace_CAA,,,-Niveau role-,,AD,
GENESYS,GENESYS,,,IAM_AR_GENESYS,IAM_TA_GENESYS,Tâche,
SVI,SVI,,,,,Tâche,
PPM - PowerBI,PPM - PowerBI,,,IAM_AR_PPM_PBI,,AD,
Reporting Directeur - PowerBI,Reporting Directeur - PowerBI,,,IAM_AR_Reporting_Directeur,,AD,
Piano Analytics - PowerBI,Piano Analytics - PowerBI,,,IAM_AR_Piano_Analytics,,AD,
CARISMA,CARISMA,,,IAM_AR_CARISMA,IAM_TA_CARISMA,Tâche,
KEYCLOAK_IDP,KEYCLOAK_IDP,,,IAM_AR_KEYCLOAK_IDP,IAM_TA_KEYCLOAK_IDP,Tâche,
PILOT,PILOT,,,IAM_AR_PILOT,IAM_TA_PILOT,Tâche,
CASIRIS,CASIRIS,,,IAM_AR_CASIRIS,IAM_TA_CASIRIS,Tâche,
DSD SAS,DSD SAS,,,IAM_TA_DSD_SAS,,AD,
DSD QlikView,DSD QlikView,,,IAM_TA_DSD_QLIKVIEW,,AD,
DSD Python,DSD Python,,,IAM_TA_DSD_PYTHON,,AD,
DSD QlikSense,DSD QlikSense,,,IAM_TA_DSD_QLIKSENSE,,AD,
DSD QlikNPrinting,DSD QlikNPrinting,,,IAM_TA_DSD_QLIKNPRINTING,,AD,
DSD Gitlab,DSD Gitlab,,,IAM_TA_DSD_GITLAB,,AD,
DSD Indexima,DSD Indexima,,,IAM_TA_DSD_INDEXIMA,,AD,
DSD Automic,DSD Automic,,,IAM_TA_DSD_AUTOMIC,,AD,
CUCM,CUCM,,,IAM_AR_CUCM,IAM_TA_CUCM,Tâche,
SBC,SBC,,,IAM_AR_SBC,IAM_TA_SBC,Tâche,
NEMO HORS PROD,NEMO HORS PROD,,,IAM_TA_NEMO,,AD,
NEMO,NEMO,,,IAM_TA_NEMO,,AD,
Sightcall,Sightcall,,,IAM_AR_Sightcall,IAM_TA_Sightcall,Tâche,
Triskell - PowerBI,Triskell - PowerBI,,,IAM_AR_Triskell,IAM_AR_Triskell,AD,
Administration infrastructures,Administration infrastructures,,,DOSIP.AOP.IT.IPT,DOSIP.AOP.IT.IPT,Tâche,
Décisionnel - QlikSense,Décisionnel - QlikSense,,,IAM_AR_Décisionnel - QlikSense,,AD,
Osiris,Osiris,,,IAM_TA_OSIRIS,,AD,
Confluence,Confluence,,,IAM_AR_Confluence,DOSIP.SOLSI.PSP.ICO,Tâche,
CMS Opentrust Badge,CMS Opentrust Badge,,,Sécurite Opérationnelle,Sécurite Opérationnelle,Tâche,
Décisionnel - PowerBI,Décisionnel - PowerBI,,,IAM_AR_Décisionnel - PowerBI,DOSIP.SOLSI.PSP.DEC,AD,
Mon empreinte digital,Mon empreinte digital,,,IAM_TA_Mon empreinte digital,DOSIP.AOP.INNO,Tâche,
Triskell,Triskell,,,IAM_AR_Triskell,IAM_AT_Triskell,Tâche,
SentinelOne,SentinelOne,,,Sécurite Opérationnelle,Sécurite Opérationnelle,Tâche,
PKI Carioca,PKI Carioca,,,Sécurite Opérationnelle,Sécurite Opérationnelle,Tâche,
Tenable,Tenable,,,Sécurite Opérationnelle,Sécurite Opérationnelle,Tâche,
Algosec,Algosec,,,Sécurite Opérationnelle,Sécurite Opérationnelle,Tâche,
Extranet EAF,Extranet EAF,,,IAM_AR_Extranet EAF,IAM_AR_Extranet EAF,Mail,clientservices@europ-assistance.fr
Power BI EAF,Power BI EAF,,,IAM_AR_POWERBI,IAM_AR_POWERBI,Mail,dir_sir-gepi-pilotage@europ-assistance.fr
RCP Scope,RCP Scope,,,SGL.RCP,SGL.RCP,Tâche,
DIAPASON Recette,DIAPASON Recette,,,DFI.CGGP.MOA,IAM_TA_Oracle R12,Tâche,
ITESOFT,ITESOFT,,,DFI.CGGP.MOA,IAM_TA_Oracle R12,Tâche,
DIAPASON Production,DIAPASON Production,,,DFI.CGGP.MOA,IAM_TA_Oracle R12,Tâche,
